"","Year","Country","Month","ISO3","Temperature","Rain"
"391","1933","Eritrea","Jul","ERI","28.5304","69.2934"
"392","1933","Eritrea","Aug","ERI","26.7174","107.097"
"393","1933","Eritrea","Sep","ERI","26.822","27.8478"
"394","1933","Eritrea","Oct","ERI","26.9579","6.73434"
"395","1933","Eritrea","Nov","ERI","27.4213","19.7235"
"396","1933","Eritrea","Dec","ERI","25.1458","3.62864"
"397","1934","Eritrea","Jan","ERI","23.4214","9.36998"
"398","1934","Eritrea","Feb","ERI","22.152","20.9453"
"399","1934","Eritrea","Mar","ERI","25.6681","2.26467"
"400","1934","Eritrea","Apr","ERI","27.4182","7.09111"
"401","1934","Eritrea","May","ERI","28.2891","5.88383"
"402","1934","Eritrea","Jun","ERI","28.0772","44.5696"
"403","1934","Eritrea","Jul","ERI","27.7088","79.3108"
"404","1934","Eritrea","Aug","ERI","27.2842","103.479"
"405","1934","Eritrea","Sep","ERI","27.6204","16.8582"
"406","1934","Eritrea","Oct","ERI","27.8461","3.5202"
"407","1934","Eritrea","Nov","ERI","26.5252","7.14805"
"408","1934","Eritrea","Dec","ERI","22.5821","38.5036"
"409","1935","Eritrea","Jan","ERI","25.0174","5.32939"
"410","1935","Eritrea","Feb","ERI","23.4009","2.97613"
"411","1935","Eritrea","Mar","ERI","27.2705","6.39459"
"412","1935","Eritrea","Apr","ERI","26.1252","29.3479"
"413","1935","Eritrea","May","ERI","27.7607","35.7282"
"414","1935","Eritrea","Jun","ERI","28.9513","20.6439"
"415","1935","Eritrea","Jul","ERI","28.5718","32.1776"
"416","1935","Eritrea","Aug","ERI","26.5547","158.614"
"417","1935","Eritrea","Sep","ERI","27.1445","50.0063"
"418","1935","Eritrea","Oct","ERI","27.5374","2.99087"
"419","1935","Eritrea","Nov","ERI","24.4374","14.6884"
"420","1935","Eritrea","Dec","ERI","24.305","9.37245"
"421","1936","Eritrea","Jan","ERI","22.3186","6.47724"
"422","1936","Eritrea","Feb","ERI","25.1207","16.7465"
"423","1936","Eritrea","Mar","ERI","27.0099","4.12898"
"424","1936","Eritrea","Apr","ERI","27.9797","7.22949"
"425","1936","Eritrea","May","ERI","30.0668","5.66792"
"426","1936","Eritrea","Jun","ERI","29.4308","33.3279"
"427","1936","Eritrea","Jul","ERI","28.2116","79.652"
"428","1936","Eritrea","Aug","ERI","27.0943","155.129"
"429","1936","Eritrea","Sep","ERI","27.371","16.1692"
"430","1936","Eritrea","Oct","ERI","27.9103","9.12756"
"431","1936","Eritrea","Nov","ERI","26.9382","0.38864"
"432","1936","Eritrea","Dec","ERI","24.2343","10.8663"
"433","1937","Eritrea","Jan","ERI","21.4039","14.6268"
"434","1937","Eritrea","Feb","ERI","24.562","2.76927"
"435","1937","Eritrea","Mar","ERI","24.9335","4.49279"
"436","1937","Eritrea","Apr","ERI","27.1544","11.5869"
"437","1937","Eritrea","May","ERI","27.9845","31.2216"
"438","1937","Eritrea","Jun","ERI","29.5378","29.8834"
"439","1937","Eritrea","Jul","ERI","27.919","53.5014"
"440","1937","Eritrea","Aug","ERI","27.2945","115.413"
"441","1937","Eritrea","Sep","ERI","28.0382","28.6661"
"442","1937","Eritrea","Oct","ERI","28.0822","5.52513"
"443","1937","Eritrea","Nov","ERI","25.5737","17.4487"
"444","1937","Eritrea","Dec","ERI","25.6691","3.77157"
"445","1938","Eritrea","Jan","ERI","24.0222","2.98711"
"446","1938","Eritrea","Feb","ERI","25.3138","29.6319"
"447","1938","Eritrea","Mar","ERI","23.3155","3.61855"
"448","1938","Eritrea","Apr","ERI","29.2968","9.82774"
"449","1938","Eritrea","May","ERI","28.8397","1.1669"
"450","1938","Eritrea","Jun","ERI","28.6919","11.5164"
"451","1938","Eritrea","Jul","ERI","26.8308","218.94"
"452","1938","Eritrea","Aug","ERI","25.9379","108.336"
