"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1081","1991","Namibia",24.221,23.8673,23.0002,21.082,18.3236,14.9104,14.6937,16.0893,19.8165,21.9503,23.1951,24.149,77.956,76.3397,43.9876,2.43065,0.13897,0.60558,0.33823,0.03349,4.91898,14.3125,27.6452,58.558
"1093","1992","Namibia",25.1814,25.1841,23.7839,21.4842,17.5377,15.2763,15.0047,16.1706,20.1238,22.3002,23.372,24.6473,32.6137,19.616,35.4206,4.88784,0.21127,0.28222,0.26532,0.13557,1.66386,3.49819,11.4664,18.4616
"1105","1993","Namibia",25.0892,23.2145,23.473,20.7425,17.8409,15.2585,16.2662,17.0879,20.3779,23.2107,23.6263,24.6638,47.0935,76.3501,41.7592,30.4952,2.19168,0.46682,0.28678,0.43732,0.28962,17.7162,32.4673,32.2852
"1117","1994","Namibia",24.3226,23.9924,23.6798,20.6686,17.5785,13.8972,14.3198,16.499,20.4765,22.2361,24.4236,25.1981,111.545,60.2809,13.1464,8.47555,0.09062,2.18864,0.67541,0.1477,0.08777,2.39529,15.3804,10.9035
"1129","1995","Namibia",25.978,25.2224,23.8595,21.2941,18.5737,14.4448,13.5582,17.3427,20.4488,22.1847,23.8389,23.9149,7.47575,56.6033,37.9583,6.67194,2.13704,0.20146,0.18132,0.71548,1.89202,10.4195,12.1167,18.975
"1141","1996","Namibia",25.0187,24.0724,22.2208,21.482,17.845,15.258,13.0895,16.1028,19.4715,22.4126,22.5555,24.1954,75.6395,39.8997,12.388,5.14345,1.90523,0.05672,0.73362,0.35316,0.71387,1.42291,22.3182,37.3763
"1153","1997","Namibia",24.1185,23.7082,22.3899,19.6769,17.0057,15.2593,15.4164,17.3718,21.1379,23.1521,23.9132,25.668,112.019,58.2456,74.5373,3.64495,2.20271,0.62982,0.21418,0.07117,2.17143,15.291,6.20017,42.1478
"1165","1998","Namibia",24.6501,25.526,23.8128,22.2802,18.2916,15.3529,15.2475,17.4914,19.6965,22.4954,23.3812,24.0969,51.251,17.9112,31.3856,6.36341,0.39342,0.04082,0.13364,0.53017,4.76525,4.88071,13.8346,33.7427
"1177","1999","Namibia",24.7968,24.8359,24.0419,21.6427,18.0868,16.1994,15.6326,16.9147,18.5827,22.5736,23.9594,24.875,63.5028,30.1591,49.5654,1.90781,3.22618,2.51227,0.03922,0.34632,0.17555,13.9383,30.2521,70.4094
"1189","2000","Namibia",24.3848,24.4644,23.1072,20.1199,16.9636,16.3959,15.3309,17.0941,19.6232,23.0842,23.1045,24.1849,88.8253,78.7057,88.5143,25.6627,3.11118,0.34892,0.45129,0.17259,0.97348,4.76605,5.91734,18.1178
"1201","2001","Namibia",24.9483,24.2672,23.9897,21.2526,18.3759,15.5369,14.1383,16.9869,19.3827,23.139,22.9952,24.4062,62.0337,71.8279,56.5683,23.9909,3.09228,1.07276,0.87238,1.08057,2.55452,7.81657,26.5597,25.1913
